File,wb,ab,t dry,t,shrinkage strain
e_026_02,0.47,4.5,180.0,180.0,-6.0708151188625035
e_026_02,0.47,4.5,180.0,187.50505050505052,-6.474255498834598
e_026_02,0.47,4.5,180.0,195.010101010101,-6.887064030575452
e_026_02,0.47,4.5,180.0,202.5151515151515,-7.309081722893236
e_026_02,0.47,4.5,180.0,210.02020202020202,-7.740157869140178
e_026_02,0.47,4.5,180.0,217.52525252525254,-8.180149320644672
e_026_02,0.47,4.5,180.0,225.03030303030303,-8.628919846966657
e_026_02,0.47,4.5,180.0,232.53535353535352,-9.086339570022751
e_026_02,0.47,4.5,180.0,240.04040404040404,-9.552284461420037
e_026_02,0.47,4.5,180.0,247.54545454545456,-10.026635894164672
e_026_02,0.47,4.5,180.0,255.05050505050505,-10.50928024137889
e_026_02,0.47,4.5,180.0,262.55555555555554,-11.000108515847336
e_026_02,0.47,4.5,180.0,270.06060606060606,-11.499016045180872
e_026_02,0.47,4.5,180.0,277.5656565656566,-12.005902178178836
e_026_02,0.47,4.5,180.0,285.07070707070704,-12.520670018624623
e_026_02,0.47,4.5,180.0,292.57575757575756,-13.043226183291901
e_026_02,0.47,4.5,180.0,300.0808080808081,-13.573480581390745
e_026_02,0.47,4.5,180.0,307.5858585858586,-14.1113462130622
e_026_02,0.47,4.5,180.0,315.0909090909091,-14.65673898484853
e_026_02,0.47,4.5,180.0,322.5959595959596,-15.209577540336591
e_026_02,0.47,4.5,180.0,330.1010101010101,-15.769783104400622
e_026_02,0.47,4.5,180.0,337.6060606060606,-16.337279339666544
e_026_02,0.47,4.5,180.0,345.1111111111111,-16.911992213987016
e_026_02,0.47,4.5,180.0,352.6161616161616,-17.493849877860484
e_026_02,0.47,4.5,180.0,360.1212121212121,-18.08278255085122
e_026_02,0.47,4.5,180.0,367.62626262626264,-18.678722416174917
e_026_02,0.47,4.5,180.0,375.13131313131316,-19.28160352270743
e_026_02,0.47,4.5,180.0,382.6363636363636,-19.891361693755236
e_026_02,0.47,4.5,180.0,390.14141414141415,-20.507934441997207
e_026_02,0.47,4.5,180.0,397.64646464646466,-21.131260890069026
e_026_02,0.47,4.5,180.0,405.1515151515151,-21.761281696316345
e_026_02,0.47,4.5,180.0,412.65656565656565,-22.3979389852903
e_026_02,0.47,4.5,180.0,420.16161616161617,-23.04117628260167
e_026_02,0.47,4.5,180.0,427.6666666666667,-23.69093845378708
e_026_02,0.47,4.5,180.0,435.1717171717172,-24.347171646874074
e_026_02,0.47,4.5,180.0,442.67676767676767,-25.00982323836104
e_026_02,0.47,4.5,180.0,450.1818181818182,-25.678841782354606
e_026_02,0.47,4.5,180.0,457.6868686868687,-26.354176962630113
e_026_02,0.47,4.5,180.0,465.19191919191917,-27.0357795474021
e_026_02,0.47,4.5,180.0,472.6969696969697,-27.723601346610252
e_026_02,0.47,4.5,180.0,480.2020202020202,-28.417595171543127
e_026_02,0.47,4.5,180.0,487.7070707070707,-29.117714796637287
e_026_02,0.47,4.5,180.0,495.21212121212125,-29.82391492330275
e_026_02,0.47,4.5,180.0,502.7171717171717,-30.536151145638396
e_026_02,0.47,4.5,180.0,510.22222222222223,-31.25437991791175
e_026_02,0.47,4.5,180.0,517.7272727272727,-31.978558523687678
e_026_02,0.47,4.5,180.0,525.2323232323232,-32.70864504649991
e_026_02,0.47,4.5,180.0,532.7373737373737,-33.44459834196713
e_026_02,0.47,4.5,180.0,540.2424242424242,-34.18637801126332
e_026_02,0.47,4.5,180.0,547.7474747474748,-34.933944375858665
e_026_02,0.47,4.5,180.0,555.2525252525253,-35.687258453453545
e_026_02,0.47,4.5,180.0,562.7575757575758,-36.44628193503414
e_026_02,0.47,4.5,180.0,570.2626262626263,-37.21097716298287
e_026_02,0.47,4.5,180.0,577.7676767676768,-37.98130711018211
e_026_02,0.47,4.5,180.0,585.2727272727273,-38.75723536005391
e_026_02,0.47,4.5,180.0,592.7777777777778,-39.53872608748218
e_026_02,0.47,4.5,180.0,600.2828282828283,-40.32574404056774
e_026_02,0.47,4.5,180.0,607.7878787878788,-41.11825452317015
e_026_02,0.47,4.5,180.0,615.2929292929293,-41.91622337819272
e_026_02,0.47,4.5,180.0,622.7979797979798,-42.71961697157083
e_026_02,0.47,4.5,180.0,630.3030303030303,-43.5284021769257
e_026_02,0.47,4.5,180.0,637.8080808080808,-44.34254636084834
e_026_02,0.47,4.5,180.0,645.3131313131313,-45.162017368780816
e_026_02,0.47,4.5,180.0,652.8181818181818,-45.98678351146401
e_026_02,0.47,4.5,180.0,660.3232323232323,-46.81681355192272
e_026_02,0.47,4.5,180.0,667.8282828282829,-47.65207669296124
e_026_02,0.47,4.5,180.0,675.3333333333334,-48.4925425651436
e_026_02,0.47,4.5,180.0,682.8383838383838,-49.338181215234975
e_026_02,0.47,4.5,180.0,690.3434343434344,-50.18896309508116
e_026_02,0.47,4.5,180.0,697.8484848484849,-51.04485905090542
e_026_02,0.47,4.5,180.0,705.3535353535353,-51.90584031300265
e_026_02,0.47,4.5,180.0,712.8585858585859,-52.77187848581191
e_026_02,0.47,4.5,180.0,720.3636363636364,-53.64294553834969
e_026_02,0.47,4.5,180.0,727.8686868686868,-54.51901379498743
e_026_02,0.47,4.5,180.0,735.3737373737374,-55.400055926557165
e_026_02,0.47,4.5,180.0,742.8787878787879,-56.28604494177055
e_026_02,0.47,4.5,180.0,750.3838383838383,-57.17695417893756
e_026_02,0.47,4.5,180.0,757.8888888888889,-58.07275729797062
e_026_02,0.47,4.5,180.0,765.3939393939394,-58.97342827266283
e_026_02,0.47,4.5,180.0,772.89898989899,-59.878941383227314
e_026_02,0.47,4.5,180.0,780.4040404040404,-60.789271209086856
e_026_02,0.47,4.5,180.0,787.9090909090909,-61.7043926219033
e_026_02,0.47,4.5,180.0,795.4141414141415,-62.624280778836024
e_026_02,0.47,4.5,180.0,802.9191919191919,-63.54891111602048
e_026_02,0.47,4.5,180.0,810.4242424242425,-64.4782593422573
e_026_02,0.47,4.5,180.0,817.929292929293,-65.41230143290336
e_026_02,0.47,4.5,180.0,825.4343434343434,-66.35101362395658
e_026_02,0.47,4.5,180.0,832.939393939394,-67.29437240632666
e_026_02,0.47,4.5,180.0,840.4444444444445,-68.24235452028432
e_026_02,0.47,4.5,180.0,847.9494949494949,-69.19493695008207
e_026_02,0.47,4.5,180.0,855.4545454545455,-70.15209691873906
e_026_02,0.47,4.5,180.0,862.959595959596,-71.113811882985
e_026_02,0.47,4.5,180.0,870.4646464646464,-72.08005952835545
e_026_02,0.47,4.5,180.0,877.969696969697,-73.05081776443382
e_026_02,0.47,4.5,180.0,885.4747474747475,-74.02606472023389
e_026_02,0.47,4.5,180.0,892.979797979798,-75.00577873971791
e_026_02,0.47,4.5,180.0,900.4848484848485,-75.9899383774448
e_026_02,0.47,4.5,180.0,907.989898989899,-76.97852239434414
e_026_02,0.47,4.5,180.0,915.4949494949495,-77.97150975361107
e_026_02,0.47,4.5,180.0,923.0,-78.9688796167174
e_026_03,0.47,4.5,180.0,180.0,-24.437225432960318
e_026_03,0.47,4.5,180.0,187.50505050505052,-25.525376111609678
e_026_03,0.47,4.5,180.0,195.010101010101,-26.585470457653628
e_026_03,0.47,4.5,180.0,202.5151515151515,-27.613877542052425
e_026_03,0.47,4.5,180.0,210.02020202020202,-28.607103993179592
e_026_03,0.47,4.5,180.0,217.52525252525254,-29.56184636399196
e_026_03,0.47,4.5,180.0,225.03030303030303,-30.475047701861524
e_026_03,0.47,4.5,180.0,232.53535353535352,-31.343956946947692
e_026_03,0.47,4.5,180.0,240.04040404040404,-32.166189457606656
e_026_03,0.47,4.5,180.0,247.54545454545456,-32.939786659565215
e_026_03,0.47,4.5,180.0,255.05050505050505,-33.66327256868479
e_026_03,0.47,4.5,180.0,262.55555555555554,-34.335704775552486
e_026_03,0.47,4.5,180.0,270.06060606060606,-34.95671743259041
e_026_03,0.47,4.5,180.0,277.5656565656566,-35.526553874430626
e_026_03,0.47,4.5,180.0,285.07070707070704,-36.04608674475902
e_026_03,0.47,4.5,180.0,292.57575757575756,-36.516823900506424
e_026_03,0.47,4.5,180.0,300.0808080808081,-36.94089890576147
e_026_03,0.47,4.5,180.0,307.5858585858586,-37.32104558674009
e_026_03,0.47,4.5,180.0,315.0909090909091,-37.66055685539284
e_026_03,0.47,4.5,180.0,322.5959595959596,-37.96322877187073
e_026_03,0.47,4.5,180.0,330.1010101010101,-38.23329154832916
e_026_03,0.47,4.5,180.0,337.6060606060606,-38.475329841762736
e_026_03,0.47,4.5,180.0,345.1111111111111,-38.69419519147086
e_026_03,0.47,4.5,180.0,352.6161616161616,-38.89491378918256
e_026_03,0.47,4.5,180.0,360.1212121212121,-39.0825929049158
e_026_03,0.47,4.5,180.0,367.62626262626264,-39.26232922573756
e_026_03,0.47,4.5,180.0,375.13131313131316,-39.43912211217819
e_026_03,0.47,4.5,180.0,382.6363636363636,-39.61779436806467
e_026_03,0.47,4.5,180.0,390.14141414141415,-39.80292259512751
e_026_03,0.47,4.5,180.0,397.64646464646466,-39.998778611046696
e_026_03,0.47,4.5,180.0,405.1515151515151,-40.209282796395584
e_026_03,0.47,4.5,180.0,412.65656565656565,-40.43796964581084
e_026_03,0.47,4.5,180.0,420.16161616161617,-40.68796526747513
e_026_03,0.47,4.5,180.0,427.6666666666667,-40.96197612848314
e_026_03,0.47,4.5,180.0,435.1717171717172,-41.262287997020415
e_026_03,0.47,4.5,180.0,442.67676767676767,-41.590773790528345
e_026_03,0.47,4.5,180.0,450.1818181818182,-41.9489088985397
e_026_03,0.47,4.5,180.0,457.6868686868687,-42.33779249945557
e_026_03,0.47,4.5,180.0,465.19191919191917,-42.75817341769477
e_026_03,0.47,4.5,180.0,472.6969696969697,-43.21047915471132
e_026_03,0.47,4.5,180.0,480.2020202020202,-43.69484685734056
e_026_03,0.47,4.5,180.0,487.7070707070707,-44.21115514386173
e_026_03,0.47,4.5,180.0,495.21212121212125,-44.7590558781186
e_026_03,0.47,4.5,180.0,502.7171717171717,-45.3380051536142
e_026_03,0.47,4.5,180.0,510.22222222222223,-45.9472929139591
e_026_03,0.47,4.5,180.0,517.7272727272727,-46.58607078726242
e_026_03,0.47,4.5,180.0,525.2323232323232,-47.25337784615838
e_026_03,0.47,4.5,180.0,532.7373737373737,-47.948164120237784
e_026_03,0.47,4.5,180.0,540.2424242424242,-48.66931178328464
e_026_03,0.47,4.5,180.0,547.7474747474748,-49.415654014603554
e_026_03,0.47,4.5,180.0,555.2525252525253,-50.18599159331462
e_026_03,0.47,4.5,180.0,562.7575757575758,-50.979107328695896
e_026_03,0.47,4.5,180.0,570.2626262626263,-51.79377846058953
e_026_03,0.47,4.5,180.0,577.7676767676768,-52.628787183711886
e_026_03,0.47,4.5,180.0,585.2727272727273,-53.482929460488265
e_026_03,0.47,4.5,180.0,592.7777777777778,-54.355022290661374
e_026_03,0.47,4.5,180.0,600.2828282828283,-55.243909604079306
e_026_03,0.47,4.5,180.0,607.7878787878788,-56.148466937197
e_026_03,0.47,4.5,180.0,615.2929292929293,-57.06760504512866
e_026_03,0.47,4.5,180.0,622.7979797979798,-58.00027259056067
e_026_03,0.47,4.5,180.0,630.3030303030303,-58.94545803925363
e_026_03,0.47,4.5,180.0,637.8080808080808,-59.90219087984195
e_026_03,0.47,4.5,180.0,645.3131313131313,-60.86954227363755
