Unnamed: 0,File,type,Geometry,timescale,w/c,a/c,c,t dry,SiO2,FlyAsh,dt,shrinkage strain,t,wb,ab
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,0.0,0.0,180.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,115.0,-25.0,295.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,180.0,-20.0,360.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,210.0,-20.0,390.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,250.0,-30.0,430.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,280.0,-25.0,460.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,330.0,-25.0,510.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,365.0,-35.0,545.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,430.0,-32.0,610.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,470.0,-42.0,650.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,500.0,-41.0,680.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,570.0,-58.0,750.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,590.0,-75.0,770.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,650.0,-65.0,830.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,743.0,-79.0,923.0,0.47,4.5
108,e_026_02,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,743.0,-79.0,923.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,0.0,0.0,180.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,12.0,-30.0,192.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,78.0,-25.0,258.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,96.0,-30.0,276.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,100.0,-40.0,280.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,115.0,-55.0,295.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,130.0,-35.0,310.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,150.0,-22.0,330.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,180.0,-42.0,360.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,210.0,-37.0,390.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,250.0,-55.0,430.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,280.0,-47.0,460.0,0.47,4.5
109,e_026_03,auto,C 104.8x304.8,linear,0.47,4.5,385.0,180.0,0.0,0.0,330.0,-32.0,510.0,0.47,4.5
